"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"17.06.2024","1,832","1,858","1,860","1,819","5,67M","-0,70%"
"14.06.2024","1,845","1,910","1,911","1,828","19,28M","-3,40%"
"13.06.2024","1,910","1,914","1,929","1,902","7,88M","-0,62%"
"12.06.2024","1,922","1,873","1,926","1,866","13,25M","2,84%"
"11.06.2024","1,869","1,929","1,937","1,849","15,02M","-2,91%"
"10.06.2024","1,925","1,927","1,931","1,912","7,01M","-0,47%"
"07.06.2024","1,934","1,985","1,994","1,917","15,35M","-2,22%"
"06.06.2024","1,978","1,987","1,992","1,944","11,92M","-0,30%"
"05.06.2024","1,984","1,973","1,997","1,967","11,26M","1,12%"
"04.06.2024","1,962","1,950","1,968","1,943","17,63M","0,41%"
"03.06.2024","1,954","1,940","1,959","1,934","12,20M","1,30%"
"31.05.2024","1,929","1,924","1,939","1,914","13,04M","0,26%"
"30.05.2024","1,924","1,896","1,926","1,890","9,78M","1,42%"
"29.05.2024","1,897","1,890","1,906","1,880","12,86M","-0,11%"
"28.05.2024","1,899","1,912","1,916","1,898","8,89M","-0,58%"
"27.05.2024","1,910","1,880","1,910","1,875","7,84M","1,17%"
"24.05.2024","1,888","1,890","1,901","1,873","9,23M","-0,63%"
"23.05.2024","1,900","1,925","1,923","1,891","12,52M","-1,35%"
"22.05.2024","1,926","1,925","1,926","1,890","12,69M","0,05%"
"21.05.2024","1,925","1,921","1,925","1,887","12,23M","-0,10%"
"20.05.2024","1,927","1,940","1,946","1,918","17,48M","-4,37%"
"17.05.2024","2,015","2,021","2,034","2,008","16,92M","-0,49%"
"16.05.2024","2,025","2,014","2,025","2,006","13,88M","0,65%"
"15.05.2024","2,012","1,994","2,021","1,969","32,47M","1,77%"
"14.05.2024","1,977","1,962","2,015","1,951","27,86M","0,51%"
"13.05.2024","1,967","1,927","1,977","1,924","21,79M","2,18%"
"10.05.2024","1,925","1,931","1,946","1,921","18,46M","0,31%"
"09.05.2024","1,919","1,910","1,923","1,895","13,66M","0,37%"
"08.05.2024","1,912","1,897","1,913","1,887","15,92M","1,06%"
"07.05.2024","1,892","1,882","1,908","1,882","14,18M","0,64%"
"06.05.2024","1,880","1,879","1,890","1,870","9,23M","1,08%"
"03.05.2024","1,860","1,897","1,910","1,860","14,32M","-1,17%"
"02.05.2024","1,882","1,859","1,903","1,856","18,24M","1,40%"
"30.04.2024","1,856","1,880","1,887","1,854","12,95M","-0,96%"
"29.04.2024","1,874","1,799","1,875","1,798","28,02M","4,63%"
"26.04.2024","1,791","1,795","1,799","1,782","11,05M","-0,06%"
"25.04.2024","1,792","1,825","1,826","1,778","13,59M","-1,32%"
"24.04.2024","1,816","1,810","1,816","1,792","15,18M","-0,11%"
"23.04.2024","1,818","1,760","1,824","1,745","55,21M","3,77%"
"22.04.2024","1,752","1,735","1,754","1,719","15,62M","1,27%"
"19.04.2024","1,730","1,712","1,730","1,691","14,33M","1,41%"
"18.04.2024","1,706","1,700","1,709","1,685","18,77M","0,95%"
"17.04.2024","1,690","1,671","1,702","1,648","14,05M","0,96%"
"16.04.2024","1,674","1,661","1,694","1,654","12,10M","-0,65%"
"15.04.2024","1,685","1,687","1,697","1,672","10,30M","-0,18%"
"12.04.2024","1,688","1,657","1,697","1,654","20,31M","2,55%"
"11.04.2024","1,646","1,625","1,655","1,625","14,19M","1,04%"
"10.04.2024","1,629","1,661","1,676","1,619","15,97M","-1,39%"
"09.04.2024","1,652","1,652","1,663","1,638","8,05M","0,12%"
"08.04.2024","1,650","1,620","1,653","1,618","10,17M","1,98%"
"05.04.2024","1,618","1,631","1,638","1,609","12,15M","-2,00%"
"04.04.2024","1,651","1,644","1,653","1,634","9,15M","0,55%"
"03.04.2024","1,642","1,648","1,646","1,629","11,73M","-0,42%"
"02.04.2024","1,649","1,675","1,674","1,648","14,24M","-1,49%"
"28.03.2024","1,674","1,680","1,679","1,657","9,19M","0,24%"
"27.03.2024","1,670","1,640","1,669","1,632","11,41M","2,27%"
"26.03.2024","1,633","1,641","1,646","1,628","8,48M","-0,37%"
"25.03.2024","1,639","1,640","1,645","1,625","8,54M","0,24%"
"22.03.2024","1,635","1,621","1,640","1,611","9,78M","1,11%"
"21.03.2024","1,617","1,653","1,655","1,616","12,42M","-1,49%"
"20.03.2024","1,641","1,653","1,656","1,640","7,63M","-0,39%"
"19.03.2024","1,648","1,651","1,651","1,635","12,15M","-0,21%"
"18.03.2024","1,651","1,675","1,691","1,642","12,35M","-1,23%"
"15.03.2024","1,672","1,642","1,676","1,638","34,96M","1,83%"
"14.03.2024","1,642","1,643","1,668","1,641","16,95M","0,12%"
"13.03.2024","1,640","1,702","1,703","1,640","32,95M","-2,58%"
"12.03.2024","1,684","1,710","1,727","1,682","23,94M","-0,24%"
"11.03.2024","1,688","1,700","1,720","1,666","34,16M","-3,63%"
"08.03.2024","1,751","1,737","1,755","1,706","14,91M","0,84%"
"07.03.2024","1,737","1,713","1,758","1,700","17,24M","-0,46%"
"06.03.2024","1,745","1,725","1,760","1,709","20,99M","1,19%"
"05.03.2024","1,724","1,663","1,724","1,647","27,13M","3,82%"
"04.03.2024","1,661","1,677","1,683","1,657","10,13M","-0,57%"
"01.03.2024","1,670","1,675","1,687","1,658","13,20M","-0,60%"
"29.02.2024","1,680","1,676","1,693","1,664","12,07M","-0,21%"
"28.02.2024","1,684","1,682","1,684","1,666","9,08M","0,57%"
"27.02.2024","1,674","1,675","1,685","1,664","7,25M","0,51%"
"26.02.2024","1,666","1,689","1,693","1,661","9,32M","-1,36%"
"23.02.2024","1,689","1,688","1,694","1,676","7,45M","-0,15%"
"22.02.2024","1,691","1,713","1,713","1,687","11,08M","-0,68%"
"21.02.2024","1,702","1,714","1,725","1,678","16,16M","0,06%"
"20.02.2024","1,702","1,678","1,710","1,667","15,71M","1,46%"
"19.02.2024","1,677","1,653","1,684","1,653","8,91M","1,21%"
"16.02.2024","1,657","1,672","1,676","1,645","10,30M","-0,48%"
"15.02.2024","1,665","1,640","1,673","1,639","9,32M","1,83%"
"14.02.2024","1,635","1,643","1,662","1,632","10,93M","-0,18%"
"13.02.2024","1,638","1,653","1,668","1,635","16,67M","-1,18%"
"12.02.2024","1,658","1,673","1,673","1,651","11,39M","-0,15%"
"09.02.2024","1,660","1,694","1,694","1,656","17,69M","-2,61%"
"08.02.2024","1,704","1,725","1,732","1,704","6,59M","-1,04%"
"07.02.2024","1,722","1,752","1,756","1,717","8,71M","-1,06%"
"06.02.2024","1,741","1,773","1,773","1,731","10,14M","-1,05%"
"05.02.2024","1,760","1,760","1,777","1,751","6,82M","-0,90%"
"02.02.2024","1,776","1,798","1,811","1,771","7,75M","-0,75%"
"01.02.2024","1,789","1,822","1,827","1,783","12,70M","-2,80%"
"31.01.2024","1,840","1,824","1,847","1,808","19,85M","0,82%"
"30.01.2024","1,826","1,788","1,832","1,780","15,34M","2,13%"
"29.01.2024","1,788","1,789","1,791","1,762","10,53M","0,00%"
"26.01.2024","1,788","1,793","1,798","1,778","12,36M","-0,08%"
"25.01.2024","1,789","1,768","1,790","1,753","13,87M","1,02%"
"24.01.2024","1,771","1,766","1,786","1,760","9,20M","0,91%"
"23.01.2024","1,755","1,808","1,809","1,746","20,41M","-2,64%"
"22.01.2024","1,803","1,829","1,836","1,798","7,84M","-1,18%"
"19.01.2024","1,824","1,817","1,829","1,809","5,67M","1,05%"
"18.01.2024","1,805","1,814","1,817","1,799","5,82M","-0,25%"
"17.01.2024","1,809","1,830","1,832","1,790","10,34M","-1,23%"
"16.01.2024","1,832","1,844","1,862","1,832","8,34M","-1,24%"
"15.01.2024","1,855","1,895","1,897","1,832","23,51M","-1,88%"
"12.01.2024","1,890","1,875","1,899","1,874","5,70M","1,50%"
"11.01.2024","1,862","1,923","1,923","1,862","6,42M","-2,87%"
"10.01.2024","1,918","1,913","1,918","1,896","6,14M","0,26%"
"09.01.2024","1,913","1,908","1,918","1,893","5,28M","0,26%"
"08.01.2024","1,908","1,886","1,908","1,878","6,94M","1,01%"
"05.01.2024","1,888","1,872","1,888","1,865","5,91M","0,24%"
"04.01.2024","1,884","1,844","1,886","1,844","7,68M","2,31%"
"03.01.2024","1,842","1,845","1,856","1,827","6,00M","-0,30%"
"02.01.2024","1,847","1,871","1,893","1,841","13,43M","-0,65%"
"29.12.2023","1,859","1,866","1,870","1,857","4,44M","0,30%"
"28.12.2023","1,854","1,855","1,860","1,840","5,87M","0,19%"
"27.12.2023","1,850","1,860","1,867","1,845","4,61M","-0,48%"
"22.12.2023","1,859","1,862","1,868","1,854","5,45M","-0,16%"
"21.12.2023","1,862","1,879","1,883","1,859","7,20M","-1,01%"
"20.12.2023","1,881","1,906","1,908","1,881","7,48M","-1,52%"
"19.12.2023","1,910","1,910","1,929","1,904","21,20M","0,37%"
"18.12.2023","1,903","1,939","1,939","1,899","8,73M","-1,88%"
"15.12.2023","1,939","1,977","1,980","1,929","17,45M","-1,72%"
"14.12.2023","1,974","1,965","1,987","1,939","15,38M","1,47%"
"13.12.2023","1,945","1,921","1,954","1,911","13,38M","1,62%"
"12.12.2023","1,914","1,959","1,963","1,906","17,51M","-1,82%"
"11.12.2023","1,949","1,962","1,977","1,942","11,23M","-0,61%"
"08.12.2023","1,962","1,961","1,962","1,934","7,08M","0,28%"
"07.12.2023","1,956","1,953","1,978","1,947","8,84M","0,20%"
"06.12.2023","1,952","1,970","1,972","1,932","14,96M","-0,23%"
"05.12.2023","1,957","1,951","1,969","1,946","6,68M","0,31%"
"04.12.2023","1,951","1,974","1,979","1,944","10,24M","-0,81%"
"01.12.2023","1,967","1,979","1,984","1,961","6,29M","-0,33%"
"30.11.2023","1,973","1,980","1,980","1,957","8,45M","0,41%"
"29.11.2023","1,965","1,995","2,005","1,962","12,20M","-1,16%"
"28.11.2023","1,988","1,980","1,995","1,961","8,28M","1,02%"
"27.11.2023","1,968","1,949","1,993","1,946","9,16M","0,66%"
"24.11.2023","1,955","1,939","1,955","1,931","5,21M","1,30%"
"23.11.2023","1,930","1,928","1,942","1,919","5,03M","0,42%"
"22.11.2023","1,922","1,938","1,945","1,920","6,76M","-0,54%"
"21.11.2023","1,933","1,939","1,946","1,929","5,89M","-0,08%"
"20.11.2023","1,934","1,938","1,949","1,926","6,74M","0,10%"
"17.11.2023","1,932","1,940","1,959","1,929","11,50M","-0,05%"
"16.11.2023","1,933","1,888","1,952","1,882","16,76M","2,55%"
"15.11.2023","1,885","1,859","1,900","1,826","17,59M","1,26%"
"14.11.2023","1,862","1,798","1,862","1,782","21,56M","3,94%"
"13.11.2023","1,791","1,776","1,793","1,770","5,64M","0,87%"
"10.11.2023","1,776","1,765","1,778","1,752","5,51M","0,06%"
"09.11.2023","1,775","1,766","1,792","1,762","6,89M","0,68%"
"08.11.2023","1,763","1,782","1,786","1,745","9,37M","-1,34%"
"07.11.2023","1,786","1,781","1,802","1,771","4,78M","-4,00%"
"06.11.2023","1,861","1,799","1,861","1,772","7,79M","3,88%"
"03.11.2023","1,791","1,796","1,813","1,788","7,18M","-0,03%"
"02.11.2023","1,792","1,796","1,812","1,788","7,32M","-0,28%"
"01.11.2023","1,797","1,770","1,798","1,762","8,37M","1,47%"
"31.10.2023","1,771","1,762","1,771","1,745","7,72M","0,77%"
"30.10.2023","1,758","1,750","1,769","1,744","7,39M","0,63%"
"27.10.2023","1,747","1,753","1,762","1,737","4,94M","-0,40%"
"26.10.2023","1,753","1,729","1,763","1,724","8,09M","1,36%"
"25.10.2023","1,730","1,731","1,740","1,717","7,36M","-0,09%"
"24.10.2023","1,732","1,704","1,736","1,699","5,43M","2,00%"
"23.10.2023","1,697","1,697","1,702","1,653","15,25M","0,89%"
"20.10.2023","1,683","1,678","1,694","1,674","6,10M","-0,44%"
"19.10.2023","1,690","1,700","1,711","1,679","8,58M","-1,11%"
"18.10.2023","1,709","1,728","1,740","1,707","7,08M","-1,38%"
"17.10.2023","1,733","1,730","1,758","1,725","4,62M","-0,35%"
"16.10.2023","1,739","1,723","1,743","1,709","5,36M","1,05%"
"13.10.2023","1,721","1,715","1,739","1,711","5,03M","0,50%"
"12.10.2023","1,712","1,729","1,747","1,712","5,72M","0,09%"
"11.10.2023","1,711","1,696","1,728","1,691","3,72M","0,47%"
"10.10.2023","1,703","1,688","1,712","1,686","6,02M","1,37%"
"09.10.2023","1,680","1,660","1,684","1,653","6,79M","0,63%"
"06.10.2023","1,669","1,669","1,678","1,637","9,35M","0,69%"
"05.10.2023","1,658","1,651","1,674","1,639","6,08M","0,52%"
"04.10.2023","1,650","1,623","1,658","1,622","12,76M","0,98%"
"03.10.2023","1,633","1,645","1,650","1,617","7,49M","-0,64%"
"02.10.2023","1,644","1,699","1,699","1,642","7,72M","-2,49%"
"29.09.2023","1,686","1,673","1,714","1,661","9,86M","1,69%"
"28.09.2023","1,658","1,676","1,689","1,645","9,57M","-0,63%"
