"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"17.06.2024","17,100","17,560","17,560","17,020","12,03K","-0,81%"
"14.06.2024","17,240","17,660","17,620","17,080","14,80K","-2,38%"
"13.06.2024","17,660","18,100","18,000","17,600","12,26K","-2,75%"
"12.06.2024","18,160","17,520","18,180","17,440","16,46K","3,89%"
"11.06.2024","17,480","17,940","17,920","17,440","20,66K","-3,00%"
"10.06.2024","18,020","18,000","18,180","17,900","14,38K","-1,31%"
"07.06.2024","18,260","17,900","18,760","18,200","15,94K","-0,65%"
"06.06.2024","18,380","18,580","18,620","18,100","13,08K","-1,08%"
"05.06.2024","18,580","18,460","18,640","18,320","12,40K","1,42%"
"04.06.2024","18,320","18,580","18,800","18,320","22,00K","-1,19%"
"03.06.2024","18,540","18,500","18,700","18,400","12,90K","0,76%"
"31.05.2024","18,400","18,560","18,560","18,200","18,17K","-0,86%"
"30.05.2024","18,560","17,560","18,580","17,560","56,61K","5,69%"
"29.05.2024","17,560","18,260","18,260","17,560","26,45K","-4,36%"
"28.05.2024","18,360","18,400","18,580","18,200","29,72K","0,00%"
"27.05.2024","18,360","18,000","18,360","17,700","22,75K","1,89%"
"24.05.2024","18,020","18,140","18,140","17,760","10,99K","-0,11%"
"23.05.2024","18,040","18,200","18,480","18,040","21,82K","-0,88%"
"22.05.2024","18,200","18,180","18,200","17,700","14,41K","0,44%"
"21.05.2024","18,120","18,360","18,360","18,000","27,29K","-1,31%"
"20.05.2024","18,360","18,420","18,580","18,300","7,89K","0,55%"
"17.05.2024","18,260","18,740","18,840","18,000","31,28K","-1,83%"
"16.05.2024","18,600","18,500","18,800","18,480","19,01K","0,65%"
"15.05.2024","18,480","18,300","18,560","17,980","22,53K","3,01%"
"14.05.2024","17,940","18,300","18,380","17,940","12,00K","-0,99%"
"13.05.2024","18,120","17,720","18,220","17,520","17,09K","0,67%"
"10.05.2024","18,000","18,320","18,400","17,940","18,41K","-0,66%"
"09.05.2024","18,120","17,600","18,220","17,600","45,90K","2,49%"
"08.05.2024","17,680","17,560","17,840","17,440","12,47K","0,00%"
"07.05.2024","17,680","17,700","17,700","17,320","12,02K","0,57%"
"06.05.2024","17,580","17,660","17,700","17,240","6,87K","-1,46%"
"03.05.2024","17,840","17,580","17,920","17,480","32,56K","0,79%"
"02.05.2024","17,700","17,640","17,780","17,500","14,53K","1,14%"
"30.04.2024","17,500","18,280","18,340","17,500","30,68K","-4,06%"
"29.04.2024","18,240","17,600","18,420","17,600","29,72K","5,07%"
"26.04.2024","17,360","17,420","17,580","17,180","6,68K","1,28%"
"25.04.2024","17,140","17,220","17,420","17,100","5,65K","-0,92%"
"24.04.2024","17,300","17,800","17,800","17,240","11,29K","-2,92%"
"23.04.2024","17,820","17,360","17,900","17,360","11,34K","3,01%"
"22.04.2024","17,300","17,320","17,680","17,300","8,82K","-1,14%"
"19.04.2024","17,500","17,300","17,500","17,220","3,35K","0,11%"
"18.04.2024","17,480","17,200","17,560","17,200","5,95K","0,58%"
"17.04.2024","17,380","17,700","17,700","17,200","19,95K","-1,81%"
"16.04.2024","17,700","17,440","17,700","17,000","24,63K","1,61%"
"15.04.2024","17,420","18,100","18,100","17,340","13,32K","-0,68%"
"12.04.2024","17,540","17,920","18,080","17,460","9,70K","-1,46%"
"11.04.2024","17,800","17,540","18,100","17,400","28,38K","3,49%"
"10.04.2024","17,200","17,200","17,720","17,080","20,18K","-2,05%"
"09.04.2024","17,560","17,320","17,920","17,240","28,07K","0,34%"
"08.04.2024","17,500","17,140","17,560","16,900","53,03K","0,92%"
"05.04.2024","17,340","18,720","18,720","17,180","59,78K","-7,37%"
"04.04.2024","18,720","18,020","18,840","18,020","12,14K","3,08%"
"03.04.2024","18,160","18,740","18,740","18,060","18,49K","-1,84%"
"02.04.2024","18,500","19,500","19,560","18,500","18,49K","-3,14%"
"28.03.2024","19,100","19,340","19,340","18,820","19,10K","0,00%"
"27.03.2024","19,100","18,700","19,280","18,440","20,20K","1,92%"
"26.03.2024","18,740","18,860","18,980","18,700","9,95K","-0,85%"
"25.03.2024","18,900","18,860","18,940","18,700","9,37K","-0,32%"
"22.03.2024","18,960","18,560","19,300","18,520","16,53K","2,16%"
"21.03.2024","18,560","19,160","19,100","18,520","35,71K","-1,69%"
"20.03.2024","18,880","19,360","19,360","18,880","17,10K","-1,87%"
"19.03.2024","19,240","19,700","19,700","19,140","21,26K","-2,83%"
"18.03.2024","19,800","19,380","19,800","19,000","13,44K","4,21%"
"15.03.2024","19,000","19,460","19,460","19,000","55,55K","-1,04%"
"14.03.2024","19,200","20,300","20,350","19,120","75,88K","-4,24%"
"13.03.2024","20,050","21,550","21,550","20,000","88,85K","-6,96%"
"12.03.2024","21,550","22,300","22,500","21,350","39,80K","-2,93%"
"11.03.2024","22,200","22,250","22,350","22,000","15,57K","-0,22%"
"08.03.2024","22,250","22,850","22,850","22,150","14,77K","-2,41%"
"07.03.2024","22,800","22,500","22,850","22,200","23,30K","2,93%"
"06.03.2024","22,150","21,850","22,400","21,650","23,58K","1,37%"
"05.03.2024","21,850","21,200","21,950","21,150","30,62K","1,86%"
"04.03.2024","21,450","21,300","21,700","21,150","25,13K","-0,23%"
"01.03.2024","21,500","22,200","22,450","21,500","56,23K","-2,71%"
"29.02.2024","22,100","21,750","22,200","21,650","27,30K","2,79%"
"28.02.2024","21,500","21,800","21,900","21,300","22,95K","-1,38%"
"27.02.2024","21,800","21,350","21,800","21,150","32,95K","1,40%"
"26.02.2024","21,500","22,000","22,050","21,350","38,63K","-2,49%"
"23.02.2024","22,050","22,500","22,550","21,900","26,09K","-1,12%"
"22.02.2024","22,300","22,900","23,150","22,200","20,55K","-2,19%"
"21.02.2024","22,800","23,100","23,100","22,450","20,31K","-0,87%"
"20.02.2024","23,000","23,000","23,250","22,750","22,83K","0,66%"
"19.02.2024","22,850","22,950","23,150","22,700","17,66K","-1,93%"
"16.02.2024","23,300","23,450","23,450","22,850","31,36K","0,65%"
"15.02.2024","23,150","23,600","23,600","22,850","73,24K","-1,49%"
"14.02.2024","23,500","23,300","23,650","23,050","27,93K","1,51%"
"13.02.2024","23,150","23,500","23,700","22,800","28,41K","-2,11%"
"12.02.2024","23,650","23,450","23,800","23,450","19,59K","1,50%"
"09.02.2024","23,300","23,400","23,700","23,050","17,25K","-0,21%"
"08.02.2024","23,350","23,500","23,800","23,150","15,92K","-1,27%"
"07.02.2024","23,650","23,700","24,200","23,600","17,46K","-0,21%"
"06.02.2024","23,700","24,500","24,500","23,550","40,28K","-3,66%"
"05.02.2024","24,600","24,600","24,800","24,200","18,05K","-0,40%"
"02.02.2024","24,700","25,100","25,450","24,700","19,77K","-1,59%"
"01.02.2024","25,100","25,500","25,600","25,100","6,11K","-1,95%"
"31.01.2024","25,600","25,000","25,650","24,900","20,31K","1,99%"
"30.01.2024","25,100","25,350","25,600","24,950","13,63K","-0,59%"
"29.01.2024","25,250","25,600","25,600","25,250","8,47K","-0,59%"
"26.01.2024","25,400","25,900","25,900","25,300","5,97K","-0,39%"
"25.01.2024","25,500","25,350","25,650","25,200","14,10K","-1,54%"
"24.01.2024","25,900","25,650","26,000","25,500","5,88K","1,57%"
"23.01.2024","25,500","26,450","26,450","25,350","11,51K","0,00%"
"22.01.2024","25,500","25,600","25,900","25,400","6,78K","0,00%"
"19.01.2024","25,500","25,500","25,900","25,350","12,28K","0,59%"
"18.01.2024","25,350","26,050","26,100","25,000","9,52K","-1,55%"
"17.01.2024","25,750","26,300","26,300","25,750","13,27K","-2,65%"
"16.01.2024","26,450","26,450","26,850","26,400","7,99K","0,00%"
"15.01.2024","26,450","26,900","26,900","26,400","2,65K","-1,12%"
"12.01.2024","26,750","26,900","27,000","26,550","6,15K","2,49%"
"11.01.2024","26,100","27,050","27,050","26,100","8,72K","-1,69%"
"10.01.2024","26,550","27,050","27,100","26,400","10,10K","-1,30%"
"09.01.2024","26,900","26,950","27,150","26,800","6,58K","0,00%"
"08.01.2024","26,900","25,900","26,900","25,700","14,78K","4,47%"
"05.01.2024","25,750","25,800","26,100","25,600","5,29K","-1,15%"
"04.01.2024","26,050","26,000","26,550","25,700","4,85K","1,36%"
"03.01.2024","25,700","26,300","26,350","25,600","11,17K","-2,28%"
"02.01.2024","26,300","26,800","27,000","26,300","11,58K","-1,13%"
"29.12.2023","26,600","27,400","27,400","26,600","10,19K","-1,12%"
"28.12.2023","26,900","26,900","27,100","26,700","3,70K","0,56%"
"27.12.2023","26,750","26,850","27,250","26,600","9,73K","-0,19%"
"22.12.2023","26,800","27,500","27,550","26,550","26,68K","-3,07%"
"21.12.2023","27,650","27,550","28,250","27,500","8,36K","-1,78%"
"20.12.2023","28,150","27,900","28,150","27,550","10,34K","1,62%"
"19.12.2023","27,700","27,300","27,800","27,200","12,70K","1,47%"
"18.12.2023","27,300","28,500","28,500","27,150","14,68K","-3,36%"
"15.12.2023","28,250","27,550","29,000","27,550","41,96K","2,54%"
"14.12.2023","27,550","25,250","28,500","25,250","74,86K","10,42%"
"13.12.2023","24,950","24,750","25,350","24,550","13,92K","2,04%"
"12.12.2023","24,450","25,400","25,400","24,400","3,90K","-1,41%"
"11.12.2023","24,800","25,650","25,650","24,650","9,88K","-1,78%"
"08.12.2023","25,250","25,250","25,850","25,000","9,08K","1,20%"
"07.12.2023","24,950","24,950","25,000","24,550","11,91K","1,01%"
"06.12.2023","24,700","24,050","25,000","23,800","16,35K","4,44%"
"05.12.2023","23,650","23,950","24,300","23,550","8,81K","-0,63%"
"04.12.2023","23,800","23,650","24,050","23,600","5,58K","0,85%"
"01.12.2023","23,600","23,500","23,850","23,250","5,84K","0,21%"
"30.11.2023","23,550","23,900","23,900","23,450","5,56K","0,43%"
"29.11.2023","23,450","23,800","24,050","23,400","4,45K","-0,42%"
"28.11.2023","23,550","23,800","23,800","23,450","5,89K","-1,67%"
"27.11.2023","23,950","23,750","24,150","23,750","7,03K","-0,42%"
"24.11.2023","24,050","24,150","24,350","23,850","2,95K","0,21%"
"23.11.2023","24,000","24,250","24,650","23,700","11,75K","-1,84%"
"22.11.2023","24,450","24,200","24,700","23,800","11,98K","2,73%"
"21.11.2023","23,800","23,900","24,350","23,550","8,57K","0,00%"
"20.11.2023","23,800","23,750","24,050","23,400","7,52K","-0,21%"
"17.11.2023","23,850","24,000","24,200","23,250","5,38K","1,49%"
"16.11.2023","23,500","24,500","24,500","23,350","7,23K","-0,42%"
"15.11.2023","23,600","23,450","24,200","23,250","11,45K","2,39%"
"14.11.2023","23,050","22,000","23,200","21,750","18,01K","5,49%"
"13.11.2023","21,850","22,400","22,900","21,850","19,58K","-5,41%"
"10.11.2023","23,100","23,300","23,550","22,650","10,68K","-2,33%"
"09.11.2023","23,650","23,200","23,700","23,000","6,86K","4,42%"
"08.11.2023","22,650","23,500","23,500","22,550","67,54K","-4,03%"
"07.11.2023","23,600","23,950","23,950","23,050","4,75K","0,85%"
"06.11.2023","23,400","23,700","23,850","23,200","6,87K","-2,09%"
"03.11.2023","23,900","23,800","24,050","23,500","10,28K","3,69%"
"02.11.2023","23,050","22,000","23,900","22,950","7,66K","-0,65%"
"01.11.2023","23,200","23,050","23,450","22,550","7,11K","-0,64%"
"31.10.2023","23,350","23,500","23,500","22,600","7,59K","2,19%"
"30.10.2023","22,850","23,150","23,250","22,550","8,04K","0,66%"
"27.10.2023","22,700","22,650","23,500","22,500","11,82K","1,11%"
"26.10.2023","22,450","23,200","23,350","22,450","9,66K","-3,65%"
"25.10.2023","23,300","23,600","23,900","23,200","7,30K","-2,51%"
"24.10.2023","23,900","24,050","24,450","23,700","10,25K","-1,65%"
"23.10.2023","24,300","24,950","24,950","23,950","6,18K","0,00%"
"20.10.2023","24,300","25,000","25,000","24,300","8,34K","-1,62%"
"19.10.2023","24,700","25,300","25,450","24,600","4,31K","-2,95%"
"18.10.2023","25,450","26,000","26,000","24,700","4,08K","0,20%"
"17.10.2023","25,400","24,600","25,450","24,050","7,57K","2,01%"
"16.10.2023","24,900","25,700","25,700","24,650","4,08K","-1,19%"
"13.10.2023","25,200","25,250","25,500","24,850","9,62K","-0,20%"
"12.10.2023","25,250","26,150","26,150","25,150","10,38K","0,80%"
"11.10.2023","25,050","25,400","25,650","25,050","8,57K","-1,38%"
"10.10.2023","25,400","24,050","25,400","24,050","14,35K","7,17%"
"09.10.2023","23,700","23,600","24,400","23,550","10,60K","-0,42%"
"06.10.2023","23,800","24,500","24,900","23,600","27,60K","-4,23%"
"05.10.2023","24,850","24,600","25,100","24,000","8,92K","0,20%"
"04.10.2023","24,800","25,250","25,500","24,800","6,39K","-2,36%"
"03.10.2023","25,400","26,200","26,200","25,250","8,78K","-3,97%"
"02.10.2023","26,450","26,500","26,900","25,800","6,50K","-0,75%"
"29.09.2023","26,650","26,200","26,800","25,900","7,78K","2,11%"
"28.09.2023","26,100","26,400","26,550","25,900","15,83K","0,77%"
"27.09.2023","25,900","26,550","26,700","25,900","4,85K","-1,71%"
"26.09.2023","26,350","26,900","26,900","26,000","5,48K","0,76%"
"25.09.2023","26,150","26,800","26,800","26,100","12,23K","-2,97%"
"22.09.2023","26,950","27,150","27,200","26,700","5,62K","-0,37%"
"21.09.2023","27,050","28,300","28,300","27,000","8,24K","-3,05%"
"20.09.2023","27,900","28,000","28,050","27,550","10,17K","3,14%"
"19.09.2023","27,050","27,900","28,050","27,000","12,25K","-3,74%"
"18.09.2023","28,100","27,750","28,100","27,500","2,41K","0,18%"
"15.09.2023","28,050","28,100","28,100","27,650","6,22K","1,08%"
"14.09.2023","27,750","27,400","28,050","27,400","6,18K","0,18%"
"13.09.2023","27,700","27,500","27,700","27,150","6,76K","-0,54%"
"12.09.2023","27,850","28,100","28,100","27,600","3,21K","0,18%"
"11.09.2023","27,800","27,800","28,250","27,700","5,69K","-1,94%"
"08.09.2023","28,350","27,850","28,350","27,400","4,55K","0,00%"
"07.09.2023","28,350","28,350","28,350","27,500","7,05K","1,25%"
"06.09.2023","28,000","28,450","28,450","28,000","4,82K","-2,44%"
"05.09.2023","28,700","28,450","28,850","28,450","2,78K","0,35%"
"04.09.2023","28,600","29,500","29,500","28,600","3,02K","-0,69%"
"01.09.2023","28,800","29,000","29,000","28,600","4,87K","0,17%"
"31.08.2023","28,750","29,100","29,300","28,600","9,00K","-1,20%"
"30.08.2023","29,100","28,950","29,100","28,650","11,52K","-0,17%"
"29.08.2023","29,150","28,300","29,400","28,000","11,79K","5,23%"
"28.08.2023","27,700","28,500","28,500","27,500","4,84K","-2,12%"
"25.08.2023","28,300","27,650","28,400","27,600","6,76K","3,10%"
"24.08.2023","27,450","27,750","28,150","27,450","3,17K","-1,26%"
"23.08.2023","27,800","27,500","27,950","27,350","8,38K","3,73%"
"22.08.2023","26,800","26,900","27,150","26,800","5,02K","0,75%"
"21.08.2023","26,600","27,050","27,350","26,600","5,77K","-0,19%"
"18.08.2023","26,650","27,400","27,400","26,550","4,56K","-3,09%"
"17.08.2023","27,500","27,050","27,500","27,050","4,24K","0,18%"
"16.08.2023","27,450","27,700","27,700","26,950","6,77K","-0,18%"
"14.08.2023","27,500","26,950","27,550","26,700","5,92K","3,00%"
"11.08.2023","26,700","27,200","27,200","26,650","1,88K","-1,11%"
"10.08.2023","27,000","27,200","27,300","26,550","5,15K","-0,74%"
"09.08.2023","27,200","27,250","27,500","26,850","8,11K","1,49%"
"08.08.2023","26,800","26,400","27,100","26,200","9,33K","1,52%"
"07.08.2023","26,400","27,450","27,450","26,050","18,38K","-2,94%"
"04.08.2023","27,200","28,050","28,750","26,550","20,38K","-0,55%"
"03.08.2023","27,350","28,800","28,800","27,350","14,36K","-3,36%"
"02.08.2023","28,300","28,200","28,450","28,000","11,20K","0,35%"
"01.08.2023","28,200","28,400","28,600","28,200","2,91K","-0,70%"
"31.07.2023","28,400","29,150","29,150","28,000","10,14K","0,18%"
"28.07.2023","28,350","29,850","29,850","28,300","31,93K","-4,55%"
"27.07.2023","29,700","29,450","30,000","29,250","11,19K","1,37%"
"26.07.2023","29,300","28,800","29,400","28,650","12,38K","1,03%"
"25.07.2023","29,000","29,050","29,250","28,600","10,10K","-1,19%"
"24.07.2023","29,350","29,550","30,400","29,300","15,27K","-1,34%"
"21.07.2023","29,750","30,350","30,350","29,300","8,91K","-1,16%"
"20.07.2023","30,100","29,950","30,350","29,900","11,25K","0,33%"
"19.07.2023","30,000","29,300","30,000","29,150","8,04K","2,74%"
"18.07.2023","29,200","29,100","29,300","28,800","8,24K","1,04%"
"17.07.2023","28,900","28,200","28,900","28,000","3,72K","1,94%"
"14.07.2023","28,350","28,500","28,900","28,150","9,98K","-0,53%"
"13.07.2023","28,500","28,650","28,850","28,450","8,16K","0,00%"
"12.07.2023","28,500","28,400","28,500","28,050","7,68K","0,71%"
"11.07.2023","28,300","28,300","28,400","27,950","5,11K","1,43%"
"10.07.2023","27,900","27,700","28,250","27,700","6,42K","0,00%"
"07.07.2023","27,900","27,700","27,950","27,450","27,45K","0,72%"
"06.07.2023","27,700","28,350","28,450","27,700","8,85K","-1,95%"
"05.07.2023","28,250","28,800","28,900","28,150","4,88K","-2,42%"
"04.07.2023","28,950","28,500","28,950","28,350","3,60K","1,58%"
"03.07.2023","28,500","28,350","28,700","28,050","11,20K","-0,35%"
"30.06.2023","28,600","28,350","28,700","28,200","5,51K","0,70%"
"29.06.2023","28,400","28,500","28,650","28,200","3,75K","0,71%"
"28.06.2023","28,200","28,400","28,650","28,050","5,70K","-0,70%"
"27.06.2023","28,400","29,300","29,450","28,250","6,77K","-1,39%"
"26.06.2023","28,800","28,850","29,000","28,600","5,02K","0,00%"
"23.06.2023","28,800","29,000","29,000","28,550","6,02K","-0,69%"
"22.06.2023","29,000","29,000","29,000","28,700","7,56K","-0,34%"
"21.06.2023","29,100","30,000","30,000","29,000","8,68K","-1,85%"
"20.06.2023","29,650","29,400","29,850","29,000","5,38K","0,85%"
"19.06.2023","29,400","29,700","30,000","29,400","6,06K","-2,65%"
"16.06.2023","30,200","29,600","30,300","29,600","7,46K","1,00%"
"15.06.2023","29,900","30,000","30,000","29,750","3,79K","0,67%"
"14.06.2023","29,700","29,900","30,100","29,600","4,89K","-0,67%"
"13.06.2023","29,900","29,900","30,000","29,550","4,58K","1,01%"
"12.06.2023","29,600","29,750","30,250","29,550","6,59K","0,68%"
"09.06.2023","29,400","29,900","29,950","29,400","4,43K","-1,67%"
"08.06.2023","29,900","29,550","29,900","29,500","2,71K","0,67%"
"07.06.2023","29,700","30,000","30,000","29,400","5,97K","-0,67%"
"06.06.2023","29,900","30,000","30,000","29,700","3,92K","-0,33%"
"05.06.2023","30,000","30,500","30,500","29,750","6,87K","-1,64%"
"02.06.2023","30,500","30,300","30,500","30,000","6,90K","0,99%"
"01.06.2023","30,200","30,350","30,550","30,000","3,38K","0,33%"
"31.05.2023","30,100","30,800","30,850","30,100","6,10K","-2,43%"
"30.05.2023","30,850","30,550","31,000","30,500","5,27K","0,49%"
"29.05.2023","30,700","30,350","30,700","30,300","5,37K","1,82%"
"26.05.2023","30,150","30,250","30,450","29,700","6,28K","1,17%"
"25.05.2023","29,800","30,850","30,850","29,750","10,43K","-3,25%"
"24.05.2023","30,800","31,300","31,300","30,750","14,93K","-0,96%"
"23.05.2023","31,100","30,050","31,250","30,050","9,78K","1,80%"
"22.05.2023","30,550","31,300","31,300","30,400","6,35K","0,33%"
"19.05.2023","30,450","30,150","31,200","30,150","25,78K","1,67%"
"18.05.2023","29,950","29,700","30,700","29,450","25,23K","1,01%"
"17.05.2023","29,650","30,350","30,350","29,650","10,32K","-1,00%"
"16.05.2023","29,950","30,650","31,100","29,950","12,05K","-1,80%"
"15.05.2023","30,500","30,000","30,650","29,600","20,40K","2,52%"
"12.05.2023","29,750","28,850","29,900","28,650","10,73K","1,88%"
"11.05.2023","29,200","29,250","29,300","28,800","12,54K","1,74%"
"10.05.2023","28,700","28,350","28,900","28,250","5,71K","1,23%"
"09.05.2023","28,350","30,000","30,000","28,350","11,32K","-4,87%"
"08.05.2023","29,800","29,450","29,850","29,050","11,01K","2,05%"
"05.05.2023","29,200","28,700","29,500","28,700","12,26K","1,74%"
"04.05.2023","28,700","28,050","28,700","27,600","8,74K","3,99%"
"03.05.2023","27,600","28,850","28,850","27,600","9,28K","-2,65%"
"02.05.2023","28,350","29,500","30,600","28,300","21,87K","-2,91%"
"28.04.2023","29,200","28,700","29,200","27,800","29,08K","4,29%"
"27.04.2023","28,000","26,250","28,000","26,250","29,72K","6,67%"
"26.04.2023","26,250","26,150","26,950","25,950","13,91K","0,77%"
"25.04.2023","26,050","26,600","26,650","25,450","34,49K","-2,07%"
"24.04.2023","26,600","28,600","28,600","26,600","23,99K","-6,34%"
"21.04.2023","28,400","28,700","29,100","28,400","6,11K","-0,70%"
"20.04.2023","28,600","29,650","29,650","28,600","8,17K","-2,05%"
"19.04.2023","29,200","29,550","29,550","28,950","5,58K","0,52%"
"18.04.2023","29,050","29,300","29,500","29,000","3,80K","-0,51%"
"17.04.2023","29,200","30,000","30,000","29,150","3,36K","-0,68%"
"14.04.2023","29,400","29,350","29,950","29,300","7,38K","0,17%"
"13.04.2023","29,350","29,050","29,400","28,850","4,89K","1,03%"
"12.04.2023","29,050","29,500","29,500","29,000","2,84K","0,17%"
"11.04.2023","29,000","29,600","29,750","28,850","4,72K","-0,85%"
"06.04.2023","29,250","29,400","29,650","29,250","4,41K","0,00%"
"05.04.2023","29,250","29,300","29,750","28,700","20,20K","0,52%"
"04.04.2023","29,100","29,350","29,450","28,950","6,40K","-0,85%"
"03.04.2023","29,350","29,600","29,900","29,050","4,56K","-0,68%"
"31.03.2023","29,550","29,300","29,650","28,650","6,74K","2,25%"
"30.03.2023","28,900","28,400","29,100","28,400","6,07K","2,30%"
"29.03.2023","28,250","28,400","28,700","28,000","12,53K","-0,88%"
"28.03.2023","28,500","29,000","29,400","28,350","9,44K","-1,72%"
"27.03.2023","29,000","29,300","30,600","29,000","8,00K","-2,36%"
"24.03.2023","29,700","29,550","30,150","29,500","8,65K","0,17%"
"23.03.2023","29,650","29,750","30,050","29,400","6,92K","-0,34%"
"22.03.2023","29,750","30,000","30,100","29,750","3,64K","-1,49%"
"21.03.2023","30,200","30,100","30,400","29,950","3,65K","1,17%"
"20.03.2023","29,850","29,450","29,950","28,450","12,15K","1,88%"
"17.03.2023","29,300","30,350","30,750","29,300","12,90K","-3,46%"
"16.03.2023","30,350","30,500","30,700","29,800","8,23K","0,33%"
"15.03.2023","30,250","31,800","31,800","30,250","11,85K","-3,82%"
"14.03.2023","31,450","30,850","31,800","30,800","9,06K","1,45%"
"13.03.2023","31,000","30,800","31,300","29,550","26,40K","0,16%"
"10.03.2023","30,950","32,000","32,000","30,750","13,86K","-2,67%"
"09.03.2023","31,800","30,900","31,850","30,400","31,83K","2,91%"
"08.03.2023","30,900","30,500","30,900","30,300","6,42K","-0,16%"
"07.03.2023","30,950","30,950","31,000","30,400","6,19K","1,31%"
"06.03.2023","30,550","31,300","31,300","30,300","10,67K","-1,45%"
"03.03.2023","31,000","30,650","31,350","30,350","18,25K","1,97%"
"02.03.2023","30,400","29,900","30,650","29,900","9,94K","1,00%"
"01.03.2023","30,100","30,850","30,900","29,600","23,02K","-2,90%"
"28.02.2023","31,000","30,850","31,100","30,700","8,82K","-0,32%"
"27.02.2023","31,100","30,750","31,550","30,750","12,56K","0,81%"
"24.02.2023","30,850","31,300","31,300","30,600","7,49K","-0,48%"
"23.02.2023","31,000","31,300","31,300","30,900","6,40K","-0,48%"
"22.02.2023","31,150","31,500","31,500","31,000","7,07K","-1,89%"
"21.02.2023","31,750","31,250","32,000","31,000","17,18K","1,93%"
"20.02.2023","31,150","31,500","31,600","31,100","8,34K","-1,27%"
"17.02.2023","31,550","31,350","31,550","31,150","3,23K","-0,32%"
"16.02.2023","31,650","31,750","31,850","31,100","13,22K","-0,31%"
"15.02.2023","31,750","32,000","32,000","31,550","6,03K","-0,31%"
"14.02.2023","31,850","31,250","31,950","31,250","9,35K","0,95%"
"13.02.2023","31,550","31,150","31,700","31,150","4,54K","0,48%"
"10.02.2023","31,400","31,650","31,900","31,300","13,34K","-1,10%"
"09.02.2023","31,750","31,950","32,050","31,550","10,51K","-0,94%"
"08.02.2023","32,050","31,700","32,250","31,700","5,90K","0,16%"
"07.02.2023","32,000","33,100","33,450","31,750","23,06K","-2,74%"
"06.02.2023","32,900","31,750","33,100","31,600","19,50K","3,79%"
"03.02.2023","31,700","32,150","32,150","31,400","14,75K","-0,63%"
"02.02.2023","31,900","32,500","32,550","31,000","20,86K","0,16%"
"01.02.2023","31,850","31,450","32,100","31,300","12,95K","1,59%"
"31.01.2023","31,350","31,050","31,350","30,550","12,00K","0,48%"
"30.01.2023","31,200","31,650","31,650","30,800","11,22K","-0,64%"
"27.01.2023","31,400","31,550","31,650","31,000","11,79K","-0,48%"
"26.01.2023","31,550","31,500","31,750","31,150","7,24K","0,16%"
"25.01.2023","31,500","31,250","31,500","31,050","7,64K","0,80%"
"24.01.2023","31,250","31,100","31,650","31,050","7,53K","0,00%"
"23.01.2023","31,250","31,550","31,550","31,050","11,11K","-0,32%"
"20.01.2023","31,350","31,650","31,900","31,300","9,00K","-0,79%"
"19.01.2023","31,600","32,350","32,350","31,550","6,62K","-2,32%"
"18.01.2023","32,350","32,950","33,000","32,200","12,25K","-0,46%"
"17.01.2023","32,500","32,400","32,700","31,800","7,43K","0,31%"
"16.01.2023","32,400","32,000","32,950","32,000","13,29K","2,69%"
"13.01.2023","31,550","31,550","32,000","31,500","6,55K","0,00%"
"12.01.2023","31,550","31,800","31,900","31,400","7,02K","-0,63%"
"11.01.2023","31,750","31,600","32,050","31,600","8,75K","0,63%"
"10.01.2023","31,550","31,300","31,900","31,300","11,48K","0,48%"
"09.01.2023","31,400","31,300","32,150","31,050","25,96K","-1,26%"
"06.01.2023","31,800","31,800","32,000","31,250","5,58K","0,00%"
"05.01.2023","31,800","32,150","32,600","31,800","8,90K","-2,15%"
"04.01.2023","32,500","32,600","33,200","32,400","13,77K","-1,81%"
"03.01.2023","33,100","32,200","34,050","31,950","19,24K","4,58%"
"02.01.2023","31,650","32,200","32,750","31,300","16,20K","-1,71%"
"30.12.2022","32,200","32,250","32,650","31,800","8,64K","0,00%"
"29.12.2022","32,200","32,350","32,800","31,350","15,59K","-0,46%"
"28.12.2022","32,350","32,850","32,850","32,250","10,77K","-1,52%"
"27.12.2022","32,850","32,150","33,200","32,150","10,69K","0,77%"
"23.12.2022","32,600","33,050","33,150","32,500","8,14K","-1,36%"
"22.12.2022","33,050","33,800","34,000","32,900","7,98K","-1,49%"
"21.12.2022","33,550","32,700","33,800","32,600","8,06K","2,60%"
"20.12.2022","32,700","33,800","33,800","32,700","14,07K","-3,25%"
"19.12.2022","33,800","32,800","33,900","32,800","12,90K","3,36%"
"16.12.2022","32,700","33,500","33,900","32,650","13,53K","-2,39%"
"15.12.2022","33,500","34,500","34,500","32,150","14,93K","-3,32%"
"14.12.2022","34,650","34,400","35,100","34,350","3,99K","0,43%"
"13.12.2022","34,500","34,700","35,350","34,100","12,39K","-0,72%"
"12.12.2022","34,750","34,850","35,300","34,650","6,82K","-1,00%"
"09.12.2022","35,100","35,000","35,200","34,600","7,81K","0,14%"
"08.12.2022","35,050","35,600","35,700","35,000","6,11K","-0,28%"
"07.12.2022","35,150","35,900","35,900","35,100","4,86K","-0,57%"
"06.12.2022","35,350","35,650","36,200","35,150","8,02K","0,14%"
"05.12.2022","35,300","35,400","35,900","35,200","15,29K","-1,12%"
