"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"17.06.2024","32,970","33,090","33,215","32,750","760,06K","-0,57%"
"14.06.2024","33,160","33,760","33,800","32,840","2,43M","-1,49%"
"13.06.2024","33,660","33,870","34,150","33,490","1,54M","-1,15%"
"12.06.2024","34,050","33,740","34,330","33,590","1,78M","1,07%"
"11.06.2024","33,690","33,610","33,830","33,240","1,78M","0,24%"
"10.06.2024","33,610","33,910","33,910","33,340","2,00M","-1,67%"
"07.06.2024","34,180","34,830","34,950","33,960","2,92M","-1,98%"
"06.06.2024","34,870","35,090","35,630","34,740","1,75M","-0,94%"
"05.06.2024","35,200","35,790","35,890","34,910","2,35M","-1,04%"
"04.06.2024","35,570","35,660","35,920","35,420","1,66M","-0,20%"
"03.06.2024","35,640","35,040","35,720","34,950","2,03M","2,30%"
"31.05.2024","34,840","34,670","34,970","34,630","2,48M","0,06%"
"30.05.2024","34,820","34,090","34,930","34,070","1,43M","1,72%"
"29.05.2024","34,230","34,680","34,810","34,190","1,69M","-2,28%"
"28.05.2024","35,030","35,110","35,440","34,980","1,43M","0,03%"
"27.05.2024","35,020","34,140","35,090","34,130","1,49M","2,55%"
"24.05.2024","34,150","34,290","34,500","34,000","1,58M","-1,30%"
"23.05.2024","34,600","34,660","34,750","34,170","3,52M","-0,32%"
"22.05.2024","34,710","34,370","34,750","34,260","1,36M","0,84%"
"21.05.2024","34,420","34,620","34,690","34,260","2,27M","-0,92%"
"20.05.2024","34,740","34,760","35,050","34,650","937,32K","0,09%"
"17.05.2024","34,710","35,360","35,550","34,540","2,25M","-1,92%"
"16.05.2024","35,390","35,580","35,890","35,250","2,59M","-0,59%"
"15.05.2024","35,600","35,040","36,350","34,660","5,11M","1,86%"
"14.05.2024","34,950","34,650","35,070","34,600","2,83M","1,42%"
"13.05.2024","34,460","34,600","34,600","34,200","2,82M","-0,12%"
"10.05.2024","34,500","33,990","34,720","33,960","3,94M","1,95%"
"09.05.2024","33,840","33,050","33,880","33,020","2,34M","2,51%"
"08.05.2024","33,010","33,140","33,340","32,780","2,06M","-0,30%"
"07.05.2024","33,110","32,480","33,110","32,450","2,96M","2,25%"
"06.05.2024","32,380","32,600","32,680","32,270","1,73M","-2,29%"
"03.05.2024","33,140","33,430","33,910","33,140","2,66M","-0,51%"
"02.05.2024","33,310","33,090","33,450","33,040","3,02M","2,08%"
"30.04.2024","32,630","33,280","33,450","32,550","3,29M","-1,12%"
"29.04.2024","33,000","32,340","33,140","32,330","2,35M","2,52%"
"26.04.2024","32,190","31,960","32,620","31,960","2,21M","0,94%"
"25.04.2024","31,890","31,660","32,390","31,590","2,93M","0,73%"
"24.04.2024","31,660","31,860","31,980","31,550","2,01M","-0,85%"
"23.04.2024","31,930","32,150","32,220","31,710","2,26M","-0,44%"
"22.04.2024","32,070","32,300","32,440","31,510","3,32M","-1,17%"
"19.04.2024","32,450","32,390","32,800","32,040","2,29M","0,34%"
"18.04.2024","32,340","32,100","32,450","31,890","2,27M","2,02%"
"17.04.2024","31,700","31,670","32,060","31,390","1,74M","-0,63%"
"16.04.2024","31,900","31,710","32,570","31,710","3,02M","-0,31%"
"15.04.2024","32,000","32,330","32,410","31,790","2,26M","-1,51%"
"12.04.2024","32,490","31,940","32,930","31,670","5,57M","3,67%"
"11.04.2024","31,340","30,440","31,770","30,400","3,66M","2,72%"
"10.04.2024","30,510","31,210","31,330","30,350","2,94M","-1,68%"
"09.04.2024","31,030","31,030","31,350","30,790","2,09M","0,23%"
"08.04.2024","30,960","30,850","31,240","30,830","1,59M","0,68%"
"05.04.2024","30,750","30,920","31,560","30,560","3,30M","-1,32%"
"04.04.2024","31,160","30,540","31,350","30,540","2,16M","2,06%"
"03.04.2024","30,530","31,000","31,020","30,300","3,65M","-1,29%"
"02.04.2024","30,930","31,260","31,550","30,930","2,44M","-1,68%"
"28.03.2024","31,460","31,700","31,830","31,290","3,66M","-0,10%"
"27.03.2024","31,490","31,050","31,570","30,990","1,88M","1,61%"
"26.03.2024","30,990","31,210","31,320","30,880","2,08M","-0,58%"
"25.03.2024","31,170","31,160","31,260","31,040","1,62M","0,06%"
"22.03.2024","31,150","31,000","31,620","30,920","2,43M","0,74%"
"21.03.2024","30,920","31,180","31,530","30,870","2,78M","-0,39%"
"20.03.2024","31,040","30,350","31,120","30,080","3,89M","1,94%"
"19.03.2024","30,450","31,010","31,050","30,430","2,59M","-1,58%"
