"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"17.06.2024","26,2700","26,3500","26,3500","26,2700","0,00K","-1,24%"
"14.06.2024","26,6000","26,4500","26,6000","26,4500","0,60K","-1,15%"
"13.06.2024","26,9100","26,5000","26,9100","26,5000","0,32K","-1,32%"
"12.06.2024","27,2700","26,3100","27,2700","26,0900","1,30K","3,41%"
"11.06.2024","26,3700","26,4100","26,4100","26,2300","0,50K","-1,42%"
"10.06.2024","26,7500","26,6900","26,7500","26,6900","0,06K","-0,26%"
"07.06.2024","26,8200","27,7900","27,7900","26,5600","0,25K","-8,84%"
"05.06.2024","29,4200","29,4200","29,4200","29,4200","1,08K","5,03%"
"27.05.2024","28,0100","27,7800","28,0100","27,7800","0,00K","-0,64%"
"24.05.2024","28,1900","28,2100","28,2100","28,0400","0,04K","-1,26%"
"23.05.2024","28,5500","29,0700","29,0700","28,5500","0,06K","0,78%"
"22.05.2024","28,3300","28,3300","28,3300","28,3300","0,00K","-1,84%"
"21.05.2024","28,8600","29,1600","29,1600","28,8600","0,16K","-1,94%"
"20.05.2024","29,4300","29,9500","29,9500","29,4300","0,35K","-0,30%"
"17.05.2024","29,5200","29,5200","29,5200","29,5200","0,04K","-0,61%"
"16.05.2024","29,7000","30,2200","30,2200","29,7000","1,19K","-0,47%"
"15.05.2024","29,8400","28,7000","29,9300","28,7000","1,22K","6,69%"
"14.05.2024","27,9700","27,8100","27,9700","27,8100","0,80K","1,01%"
"13.05.2024","27,6900","27,8700","27,8700","27,6900","0,93K","-0,07%"
"10.05.2024","27,7100","28,0500","28,0500","27,7100","0,15K","0,40%"
"09.05.2024","27,6000","27,6400","27,6400","27,6000","0,16K","-0,83%"
"08.05.2024","27,8300","28,2100","28,2100","27,8300","0,04K","-2,69%"
"07.05.2024","28,6000","28,6800","28,8500","28,6000","0,60K","1,78%"
"03.05.2024","28,1000","27,5400","28,1700","27,5400","0,88K","3,27%"
"02.05.2024","27,2100","27,3400","27,4000","27,2100","1,03K","0,26%"
"30.04.2024","27,1400","27,5000","27,7200","27,1400","2,69K","3,83%"
"29.04.2024","26,1400","26,1400","26,1400","26,1400","0,47K","2,11%"
"25.04.2024","25,6000","25,6000","25,6000","25,6000","1,01K","-0,39%"
"24.04.2024","25,7000","25,7000","25,7000","25,7000","0,02K","2,19%"
"19.04.2024","25,1500","25,1500","25,1500","25,1500","1,00K","2,28%"
"17.04.2024","24,5900","24,6800","24,6800","24,4700","0,32K","-0,97%"
"16.04.2024","24,8300","24,6300","24,8300","24,6300","0,05K","-2,13%"
"15.04.2024","25,3700","25,3700","25,3700","25,3700","0,14K","1,89%"
"11.04.2024","24,9000","24,9000","24,9000","24,9000","1,00K","-2,89%"
"08.04.2024","25,6400","25,5800","25,6400","25,5800","0,60K","0,63%"
"05.04.2024","25,4800","25,4800","25,4800","25,4800","0,30K","-1,81%"
"04.04.2024","25,9500","26,1000","26,1000","25,9500","0,23K","-1,48%"
"03.04.2024","26,3400","26,1000","26,3400","26,1000","0,55K","-0,23%"
"02.04.2024","26,4000","26,3000","26,4000","26,2900","0,14K","-3,08%"
"28.03.2024","27,2400","27,2100","27,2400","27,2100","0,28K","-0,04%"
"27.03.2024","27,2500","27,2500","27,2500","27,2500","0,15K","-1,27%"
"26.03.2024","27,6000","27,0200","27,6000","27,0200","0,73K","3,37%"
"25.03.2024","26,7000","26,6000","26,8200","26,6000","0,28K","0,04%"
"22.03.2024","26,6900","26,5400","26,6900","26,5400","0,32K","2,26%"
"21.03.2024","26,1000","26,2700","26,4400","26,1000","0,43K","3,78%"
"19.03.2024","25,1500","24,6900","25,1100","24,5700","0,91K","1,49%"
"18.03.2024","24,7800","24,4000","24,8400","24,4000","1,82K","2,74%"
"15.03.2024","24,1200","24,9600","24,9600","23,8000","3,76K","-10,20%"
"14.03.2024","26,8600","27,3000","27,3000","27,3000","0,03K","-1,54%"
"13.03.2024","27,2800","27,2800","27,2800","27,2800","","-0,47%"
"12.03.2024","27,4100","27,6000","27,7300","27,1900","0,40K","-0,76%"
"11.03.2024","27,6200","27,1800","27,5000","27,1800","0,60K","2,60%"
"08.03.2024","26,9200","26,6200","26,9200","26,6200","","0,82%"
"07.03.2024","26,7000","26,6200","26,6200","26,6200","0,37K","3,13%"
"06.03.2024","25,8900","26,5900","26,7500","25,8000","0,43K","-1,41%"
"05.03.2024","26,2600","26,0500","26,0500","26,0500","0,30K","0,31%"
"04.03.2024","26,1800","26,1800","26,1800","26,1800","","-1,98%"
"01.03.2024","26,7100","25,8500","26,7100","26,0000","","3,17%"
"29.02.2024","25,8900","25,8500","26,0000","25,8500","0,38K","0,98%"
"28.02.2024","25,6400","25,6100","25,6100","25,5000","0,20K","-2,66%"
"27.02.2024","26,3400","26,3000","26,3000","26,3000","4,20K","1,27%"
"26.02.2024","26,0100","26,2600","26,2600","26,2300","0,34K","-1,51%"
"23.02.2024","26,4100","26,7200","26,5300","26,4100","","-0,19%"
"22.02.2024","26,4600","26,4600","26,4600","26,4600","","-0,04%"
"21.02.2024","26,4700","26,7200","26,7200","26,5300","0,60K","-0,49%"
"20.02.2024","26,6000","26,6000","26,6000","26,6000","","-0,30%"
"19.02.2024","26,6800","27,1400","27,1400","26,6600","0,23K","0,08%"
"16.02.2024","26,6600","25,8800","26,6600","25,8800","","0,57%"
"15.02.2024","26,5100","26,5100","26,5100","26,5100","","2,71%"
"14.02.2024","25,8100","25,8100","25,8100","25,8100","","-0,04%"
"13.02.2024","25,8200","25,8800","25,8800","25,8800","0,01K","-3,08%"
"12.02.2024","26,6400","26,5100","26,5100","26,5100","0,08K","2,46%"
"09.02.2024","26,0000","26,6000","26,6100","26,0000","0,53K","-2,51%"
"08.02.2024","26,6700","26,7500","26,8500","26,7400","0,79K","-0,74%"
"07.02.2024","26,8700","27,1800","27,1800","26,5600","1,63K","-2,22%"
"06.02.2024","27,4800","27,4800","27,4800","27,4800","","-0,11%"
"05.02.2024","27,5100","27,5100","27,5100","27,5100","","-1,71%"
"02.02.2024","27,9900","28,3200","28,5600","27,9900","","-2,00%"
"01.02.2024","28,5600","28,3200","28,5600","28,3200","0,09K","-2,29%"
"31.01.2024","29,2300","28,8000","29,2000","28,8000","1,52K","2,92%"
"30.01.2024","28,4000","28,5800","28,5800","28,5800","0,20K","0,85%"
"29.01.2024","28,1600","28,1600","28,1600","28,1600","","1,92%"
"26.01.2024","27,6300","27,5100","27,5300","27,5100","0,50K","0,47%"
"25.01.2024","27,5000","26,9000","27,5000","26,9000","0,75K","-0,25%"
"24.01.2024","27,5700","27,3600","27,3900","27,3600","0,22K","2,53%"
"23.01.2024","26,8900","26,7900","26,7900","26,6600","0,25K","-0,41%"
"22.01.2024","27,0000","26,8200","26,8200","26,8200","0,00K","0,07%"
"19.01.2024","26,9800","27,1000","27,1000","27,0000","1,21K","0,94%"
"18.01.2024","26,7300","26,7300","26,7300","26,7300","","1,02%"
"17.01.2024","26,4600","26,4700","26,4700","26,1600","1,85K","-2,72%"
"16.01.2024","27,2000","27,3000","27,3000","27,2100","0,51K","-1,27%"
"15.01.2024","27,5500","28,1800","28,1800","27,2300","0,90K","-0,61%"
"12.01.2024","27,7200","27,5500","27,8400","27,5500","0,75K","1,99%"
"11.01.2024","27,1800","27,8000","27,9100","27,8000","0,21K","-1,31%"
"10.01.2024","27,5400","27,8000","27,8000","27,7900","1,00K","1,18%"
"09.01.2024","27,2200","27,2400","27,2400","27,2400","0,20K","-0,51%"
"08.01.2024","27,3600","26,9900","26,9900","26,6300","0,50K","0,88%"
"05.01.2024","27,1200","27,1800","27,1800","27,1000","3,10K","-1,31%"
"04.01.2024","27,4800","27,3900","28,2300","27,3900","0,17K","0,44%"
"03.01.2024","27,3600","27,5100","27,5100","27,0900","2,36K","-2,84%"
"02.01.2024","28,1600","28,5800","28,7200","28,1300","0,96K","1,22%"
"29.12.2023","27,8200","27,8200","27,8200","27,8200","0,00K","-3,00%"
"28.12.2023","28,6800","28,6500","28,6700","28,5800","0,47K","-0,03%"
"27.12.2023","28,6900","28,4700","28,4700","28,4700","0,20K","1,74%"
"22.12.2023","28,2000","28,0000","28,3000","28,0000","0,24K","0,36%"
"21.12.2023","28,1000","28,2300","28,2300","28,2300","0,25K","2,03%"
"20.12.2023","27,5400","28,0900","28,0900","27,5400","0,57K","-1,71%"
"19.12.2023","28,0200","28,0600","28,7300","27,9800","4,64K","1,67%"
"18.12.2023","27,5600","27,9800","27,9800","27,6400","0,40K","-2,82%"
"15.12.2023","28,3600","28,6700","28,7400","28,1800","0,54K","-1,56%"
"14.12.2023","28,8100","28,9200","29,0600","28,3700","6,24K","8,68%"
"13.12.2023","26,5100","26,5000","26,5000","26,5000","0,21K","0,15%"
"12.12.2023","26,4700","26,5100","26,8100","26,3500","4,28K","-0,68%"
"11.12.2023","26,6500","26,5000","26,6600","26,4200","0,51K","1,76%"
"08.12.2023","26,1900","26,6800","26,6800","26,1900","0,30K","-3,00%"
"07.12.2023","27,0000","26,8700","27,0000","26,6000","0,85K","0,30%"
"06.12.2023","26,9200","27,1500","27,2300","26,9200","1,45K","-0,44%"
"05.12.2023","27,0400","27,0700","27,5700","27,0100","1,80K","2,11%"
"04.12.2023","26,4800","26,8700","27,3600","26,4800","3,65K","-0,38%"
"01.12.2023","26,5800","25,5800","26,5800","25,5800","1,95K","3,75%"
"30.11.2023","25,6200","26,0000","26,0000","25,5700","1,29K","-1,12%"
"29.11.2023","25,9100","25,5600","26,0700","25,5600","0,26K","2,41%"
"28.11.2023","25,3000","25,2500","25,3000","25,0700","0,37K","1,28%"
"23.11.2023","24,9800","24,9800","24,9800","24,9800","0,04K","1,34%"
"21.11.2023","24,6500","25,2700","25,3000","24,6500","1,00K","-3,71%"
"20.11.2023","25,6000","25,4600","25,6000","25,4600","0,19K","0,67%"
"17.11.2023","25,4300","25,3100","25,4300","25,2400","0,74K","2,91%"
"16.11.2023","24,7100","24,7100","24,7100","24,7100","0,02K","-0,48%"
"15.11.2023","24,8300","25,2000","25,2000","24,8300","0,70K","-0,96%"
"14.11.2023","25,0700","23,7000","25,2000","23,7000","2,00K","7,55%"
"13.11.2023","23,3100","23,3100","23,3100","23,3100","0,12K","1,13%"
"10.11.2023","23,0500","23,2000","23,2000","23,0500","1,00K","-2,95%"
"09.11.2023","23,7500","23,6200","23,8800","23,6200","0,37K","2,02%"
"07.11.2023","23,2800","23,2800","23,2800","23,2800","0,40K","-7,62%"
"06.11.2023","25,2000","23,7000","25,2000","23,2400","0,30K","2,48%"
"03.11.2023","24,5900","23,5700","24,8400","23,4000","5,99K","0,00%"
"02.11.2023","24,5900","23,5700","24,5900","22,4300","0,60K","12,03%"
"01.11.2023","21,9500","21,9700","21,9700","21,9500","0,15K","0,64%"
"31.10.2023","21,8100","21,6100","21,8100","21,6100","0,70K","3,86%"
"30.10.2023","21,0000","20,9000","21,0000","20,9000","0,17K","0,48%"
